Index,Developer,Video_Game_Name
564,Empire Interactive,Jackass the Game
565,Sidhe Interactive,Jackass the Game
566,Sensory Sweep Studios,Jackass the Game
567,XSEED Games,Ragnarok DS
568,"GungHo Online Entertainment, Inc.",Ragnarok DS
569,Guerrilla Games,Shellshock: Nam '67
570,Eidos Interactive,Shellshock: Nam '67
571,Disney Interactive Studios,Ultimate Band
572,Fall Line Studios,Ultimate Band
573,Atlus,Kartia: The Word of Fate
574,Konami,Kartia: The Word of Fate
575,Acclaim Entertainment,All-Star Baseball 2002
576,Acclaim Studios Austin,All-Star Baseball 2002
577,Capcom,Capcom vs. SNK
578,Capcom Production Studio 1,Capcom vs. SNK
579,Virgin Interactive Entertainment,Capcom vs. SNK
580,Arkane Studios,Dishonored 2
581,Bethesda Softworks,Dishonored 2
582,Gameloft,Asphalt: Injection
583,Konami,Asphalt: Injection
584,EA Redwood Shores,From Russia With Love
585,Electronic Arts,From Russia With Love
586,Activision,Guitar Hero: Smash Hits
587,Beenox,Guitar Hero: Smash Hits
588,Electronic Arts,NBA Live 09 All-Play
589,Acclaim Entertainment,NFL Quarterback Club 2002
590,EA Sports,NCAA Basketball 09
591,EA Canada,NCAA Basketball 09
592,Nintendo,Kirby's Star Stacker
593,HAL Laboratory,Kirby's Star Stacker
594,Atlus,Shin Megami Tensei: Persona
595,THQ,Kung Fu Panda 2
596,Griptonite Games,Kung Fu Panda 2
597,Bandai Namco Entertainment,Lords of the Fallen
598,Deck13 Interactive,Lords of the Fallen
599,City Interactive,Lords of the Fallen
600,Feral Interactive,LEGO The Lord of the Rings
601,Traveller's Tales,LEGO The Lord of the Rings
602,WB Games,LEGO The Lord of the Rings
603,TT Fusion,LEGO The Lord of the Rings
604,D3Publisher,Kidz Bop Dance Party! The Video Game
605,Career Soft,Growlanser: Heritage of War
606,Atlus,Growlanser: Heritage of War
607,Atlus USA,Growlanser: Heritage of War
608,Rising Star Games,Growlanser: Heritage of War
609,D3 Publisher,Ben 10 Alien Force: Vilgax Attacks
610,Papaya Studio,Ben 10 Alien Force: Vilgax Attacks
611,1st Playable Productions,Ben 10 Alien Force: Vilgax Attacks
612,Ubisoft Sao Paulo,Imagine: Detective
613,HB Studios,Rugby 2004
614,EA Sports,Rugby 2004
615,Nintendo,Disney's Magical Quest Starring Mickey and Minnie
